# form-forge 已验证肌肉图源索引（42 块）
# 每行：中文名<TAB>英文名<TAB>部位<TAB>分量<TAB>维基共享资源文件名<TAB>作者<TAB>授权
# 这些文件名全部人工目视验收过，直接用 Special:FilePath 取即可，不必再搜。
# 表里没有的肌肉，用 fetch_muscle_images.py 现搜，搜到后回来补一行。
三角肌	Deltoid	肩/上背	大肌群	Deltoid muscle top9.png	Anatomography	CC BY-SA 2.1 jp
斜方肌	Trapezius	肩/上背	大肌群	Trapezius muscle animation small.gif	Anatomography	CC BY-SA 2.1 jp
前锯肌	Serratus anterior	肩/上背	深层稳定	Serratus anterior muscle animation small.gif	Anatomography	CC BY-SA 2.1 jp
菱形肌	Rhomboid	肩/上背	小肌群	Rhomboid muscles lateral.png	Anatomography	CC BY-SA 2.1 jp
背阔肌	Latissimus dorsi	肩/上背	大肌群	Latissimus dorsi muscle lateral2.png	Anatomography	CC BY-SA 2.1 jp
大圆肌	Teres major	肩/上背	小肌群	Teres major muscle lateral2.png	Anatomography	CC BY-SA 2.1 jp
冈上肌	Supraspinatus	肩/上背	深层稳定	Supraspinatus muscle top.png	Anatomography	CC BY-SA 2.1 jp
冈下肌	Infraspinatus	肩/上背	深层稳定	Infraspinatus muscle top2.png	Anatomography	CC BY-SA 2.1 jp
小圆肌	Teres minor	肩/上背	深层稳定	Teres minor muscle lateral2.png	Anatomography	CC BY-SA 2.1 jp
肩胛下肌	Subscapularis	肩/上背	深层稳定	Subscapularis muscle top2.png	Anatomography	CC BY-SA 2.1 jp
肩胛提肌	Levator scapulae	肩/上背	小肌群	Levator scapulae muscle lateral.png	Anatomography	CC BY-SA 2.1 jp
胸锁乳突肌	Sternocleidomastoid	肩/上背	小肌群	Sternocleidomastoideus.png	Henry Vandyke Carter (Gray385 modified)	Public domain
胸大肌	Pectoralis major	胸	大肌群	Pectoralis-major.png	colorized by Michael Gasperl	Public domain
胸小肌	Pectoralis minor	胸	小肌群	Pectoralis minor muscle superior.png	Anatomography	CC BY-SA 2.1 jp
肱二头肌	Biceps brachii	上臂	小肌群	Biceps brachii muscle19.png	Anatomography	CC BY-SA 2.1 jp
肱三头肌	Triceps brachii	上臂	小肌群	Triceps brachii muscle10.png	Anatomography	CC BY-SA 2.1 jp
肱肌	Brachialis	上臂	小肌群	Brachialis muscle11.png	Anatomography	CC BY-SA 2.1 jp
肱桡肌	Brachioradialis	上臂	小肌群	Gray — musculus brachioradialis.png	Henry Vandyke Carter	Public domain
腹直肌	Rectus abdominis	核心/躯干	小肌群	Rectus abdominis.png	Wikimedia Commons	CC BY-SA 3.0
腹外斜肌	External oblique	核心/躯干	小肌群	Grays Anatomy Muscle oblique externe.png	Par Henry Vandyke Carter	CC0
腹内斜肌	Internal oblique	核心/躯干	小肌群	1112 Muscles of the Abdomen Anterolateral.png	OpenStax College	CC BY 3.0
腹横肌	Transversus abdominis	核心/躯干	深层稳定	Transversus abdominis.png	modified by Uwe Gille	Public domain
竖脊肌	Erector spinae	核心/躯干	大肌群	Gray389 - Erector spinae.png	Henry Vandyke Carter	Public domain
腰方肌	Quadratus lumborum	核心/躯干	小肌群	Quadratuslumborum.png	modified by Uwe Gille	Public domain
臀大肌	Gluteus maximus	臀/髋	大肌群	Gluteus maximus 3D.gif	Anatomography	CC BY-SA 2.1 jp
臀中肌	Gluteus medius	臀/髋	小肌群	Gluteus medius muscle08.png	Anatomography	CC BY-SA 2.1 jp
臀小肌	Gluteus minimus	臀/髋	小肌群	Gluteus minimus muscle08.png	Anatomography	CC BY-SA 2.1 jp
股直肌	Rectus femoris	大腿	大肌群	Rectus femoris 3D.gif	Anatomography	CC BY-SA 2.1 jp
股外侧肌	Vastus lateralis	大腿	大肌群	Vastus lateralis.gif	Anatomography	CC BY-SA 2.1 jp
股内侧肌	Vastus medialis	大腿	大肌群	Vastus medialis.gif	Anatomography	CC BY-SA 2.1 jp
股中间肌	Vastus intermedius	大腿	大肌群	Vastus intermedialis.gif	BodyParts3D/Anatomography	CC BY-SA 2.1 jp
股二头肌	Biceps femoris	大腿	大肌群	Biceps femoris.gif	Anatomography	CC BY-SA 2.1 jp
半腱肌	Semitendinosus	大腿	大肌群	Semitendinosus.png	Anatomography	CC BY-SA 2.1 jp
半膜肌	Semimembranosus	大腿	大肌群	Semimembranosus.gif	Anatomography	CC BY-SA 2.1 jp
大收肌	Adductor magnus	大腿	大肌群	Adductor magnus.gif	Anatomography	CC BY-SA 2.1 jp
腰大肌	Psoas major	臀/髋	小肌群	Psoas major muscle11.png	Anatomography	CC BY-SA 2.1 jp
髂肌	Iliacus	臀/髋	小肌群	Iliacus muscle09.png	Anatomography	CC BY-SA 2.1 jp
阔筋膜张肌	Tensor fasciae latae	臀/髋	小肌群	Tensor-fasciae-latae.png	colorized by Michael Gasperl	Public domain
梨状肌	Piriformis	臀/髋	小肌群	Piriformis large.gif	Anatomography	CC BY-SA 2.1 jp
腓肠肌	Gastrocnemius	小腿	小肌群	Gastrocnemius muscle - posterior view.png	Polygon data were generated by Database Center for Life Science (DBCLS)[2]	CC BY-SA 2.1 jp
比目鱼肌	Soleus	小腿	小肌群	Soleus muscle - posterior view.png	Polygon data is generated by Database Center for Life Science (DBCLS)	CC BY-SA 2.1 jp
胫骨前肌	Tibialis anterior	小腿	小肌群	Tibialis anterior muscle - posteriror view.png	Polygon data were generated by Database Center for Life Science (DBCLS)	CC BY-SA 2.1 jp
